"root"	"root_in_comps"	"root_has_verb"	"root_group"	"root_sign"	"root_meaning"	"sanskrit_root"	"sanskrit_root_meaning"	"sanskrit_root_class"	"root_example"	"dhatupatha_num"	"dhatupatha_root"	"dhatupatha_pali"	"dhatupatha_english"	"dhatumanjusa_num"	"dhatumanjusa_root"	"dhatumanjusa_pali"	"dhatumanjusa_english"	"dhatumala_root"	"dhatumala_pali"	"dhatumala_english"	"panini_root"	"panini_sanskrit"	"panini_english"	"note"	"matrix_test"
"√kas 1"	""	"･"	"1"	"a"	"drag, draw"	"√kṛṣ"	"drag, plough"	"1, 6"	"kasati, kasanta, kaṭṭha"	"304"	"kasa"	"gati-hiṃsā-<b>vilekhanesu</b>"	"going, hurting and <b>scratching</b>"	"474"	"kasa"	"hiṃsā-<b>vilekhane</b>"	"hurting and <b>scratching</b>"	"kasa"	"vilekhane"	"scratching"	"kṛṣ a"	"vilekhane"	"scratching, furrowing"	""	"√"
"√kas 2"	""	"×"	"1"	"a"	"hurt, trouble"	"√kaṣ"	"scratch"	"1"	"kasira"	"304"	"kasa"	"gati-<b>hiṃsā</b>-vilekhanesu"	"going, <b>hurting</b> and scratching"	"474"	"kasa"	"<b>hiṃsā</b>-vilekhane"	"<b>hurting</b> and scratching"	"kasa"	"hiṃsāyaṃ"	"hurting"	"kaṣ a"	"hiṃsārthaḥ"	"hurting"	""	"√"
"√kass"	""	"･"	"1"	"a"	"drag, draw along"	"√kṛṣ"	"drag, plough"	"1, 6"	"kassati, kassaka"	"-"	"-"	"-"	"-"	"461"	"kassa"	"kassane"	"dragging, ploughing"	"kassa"	"gatiyaṃ"	"going"	"kas a"	"gatau"	"going"	""	"√"
"√kā"	""	"･"	"3"	"ya"	"makes sound"	"√gā"	"sing"	"4"	"kāyati"	"392"	"kā"	"sadde"	"making sound"	"626"	"kā"	"sadde"	"making sound"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kās 1"	""	"･"	"1"	"a"	"shine, be visible"	"√kāś"	"appear, make a show"	"1"	"pakāsati, pakāseti, pakāsita, ākāsa, okāsa"	"316"	"kāsa"	"dittiyaṃ"	"shining"	"476"	"kāsa"	"<b>dittimhi</b> saddane"	"<b>shining</b> and making sound"	"kāsu"	"dittiyaṃ"	"shining, manifesting"	"kāś ṛ"	"dīptau"	"shining"	""	"√"
"√kās 2"	""	"･"	"1"	"a"	"cough"	"√kās"	"cough"	"1"	"ukkāsati"	"-"	"-"	"-"	"-"	"476"	"kāsa"	"dittimhi <b>saddane</b>"	"shining and <b>making</b> <b>sound</b>"	"kāsa"	"saddakucchāyaṃ"	"cavity sound = coughing"	"kās ṛ"	"śabdakutsāyām"	"coughing"	""	"√"
"√kit 1"	""	"･"	"1"	"a"	"heal, cure"	"√cit"	"perceive, know, appear"	"1"	"tikicchati"	"-"	"-"	"-"	"-"	"180"	"kita"	"vāsa-<b>ādo</b>"	"living <b>etc</b>"	"kita"	"nivāse <b>rogāpanayane</b> ca"	"living and <b>curing illness</b>"	"kit a"	"<b>bandhane</b> nivāse ca"	"<b>bandaging</b> and living"	"related to Sanskrit √cit"	"√"
"√kit 2"	""	"×"	"1"	"a"	"live"	"√cit"	"perceive, know, appear"	"1"	"ketati, niketa"	"122"	"kita"	"nivāsane"	"living in"	"180"	"kita"	"<b>vāsa</b>-ādo"	"<b>living</b> etc"	"kita"	"<b>nivāse</b> rogāpanayane ca"	"<b>living</b> and curing illness"	"kit a"	"bandhane <b>nivāse</b> ca"	"bandaging and <b>living</b>"	""	"√"
"√kit 3"	""	"･"	"1"	"a"	"know, doubt"	"√cit"	"perceive, know, appear"	"1"	"sanketa, vicikicchā"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kita"	"ñāṇe"	"knowing"	"ki kit a"	"jñāne"	"knowing"	""	"√"
"√kitt"	""	"･"	"8"	"e, aya"	"make known"	"√kṝt √kīrt"	"mention"	"10"	"kitteti, kitti"	"579"	"kitta"	"saṃsadde"	"calling out"	"812"	"kitta"	"saṃsaddane"	"calling out, mentioning"	"kitta"	"saṃsaddane"	"calling out, mentioning"	"kṝt a"	"saṃśabdane"	"calling out, mentioning"	""	"√"
"√kir"	""	"･"	"1"	"a"	"scatter, sprinkle"	"√kṝ √kṛ"	"scatter"	"6"	"kirati, abhippakirati, ākiṇṇa ākiritvā"	"482"	"kira"	"vikiraṇe"	"scattering, dispersing"	"557"	"kira"	"vikiraṇe"	"scattering, dispersing"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kilam"	""	"･"	"1"	"a"	"be weary"	"√klam"	"be weary"	"1, 4"	"kilamati, kilanta"	"222"	"kilama"	"gilāne"	"being sick"	"316"	"kilamu"	"gilāne"	"being sick, tired"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kilid"	""	"･"	"3"	"ya"	"be wet"	"√klid"	"be wet"	"4"	"kilinna"	"-"	"-"	"-"	"-"	"199"	"kilidī"	"paridevādo"	"wailing etc."	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kilis 1"	"kilis or kkilis"	"･"	"3"	"ya"	"be dirty, be molested"	"√kliś"	"distress"	"4, 9"	"kilissati, kilesa"	"445"	"kilisa"	"upatāpe"	"troubling"	"686"	"kilisa"	"upatāpe"	"vexing, trouble"	"kilisa"	"upatāpe"	"vexing"	"kliś a"	"upatāpe"	"troubling"	"passive of √kilis 1"	"√"
"√kilis 2"	""	"･"	"5"	"nā"	"trouble"	"√kliś"	"distress"	"4, 9"	"kilisnāti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kilisa"	"vibādhane"	"hindering"	"kliś u"	"vibādhane"	"troubling"	""	"√"
"√kis"	""	"×"	"1"	"a"	"be thin"	"√kṛś"	"be lean"	"4"	"kisa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√kī"	"kkī"	"･"	"5"	"nā"	"buy"	"√krī"	"buy"	"9"	"kiṇāti, kaya, kīta, kayavikkaya"	"507"	"kī"	"dabbavinimaye"	"good exchange"	"715"	"kī"	"vinimaye"	"bartering, exchanging"	"kī"	"dabbavinimaye"	"exchange of goods, trading"	"ḍu krī ñ"	"dravyavinimaye"	"trading things"	""	"√"
"√kīḷ"	"kkīḷ"	"･"	"1"	"a"	"play"	"√krīḍ"	"play"	"1"	"kīḷati, kīḷāpeti, kīḷā, kīḷanta"	"350"	"khīḷa"	"vihāre"	"amusing oneself"	"511"	"kīḷa"	"vihāramhi"	"passing the time"	"kīḷa"	"vihāre"	"sporting"	"krīḍ ṛ"	"vihāre"	"amusing oneself"	""	"√"
"√ku"	""	"×"	"1"	"a"	"sing, sound"	"√kū"	"sound"	"1, 2, 6, 9"	"kavi"	"2"	"ku"	"sadde"	"making sound"	"11"	"ku"	"sadde kucchite"	"making bad sounds"	"ku"	"sadde"	"making sound"	"ku ṅ ku"	"śabde śabde"	"making sound"	""	"√"
"√kuc"	""	"･"	"1"	"a"	"contract"	"√kuc"	"shrink, curl"	"2"	"saṅkoceti"	"468"	"kuca"	"saṃkoce"	"contracting, distorting"	"516"	"kuca"	"saṃkocane"	"being crooked"	"kuca"	"saṅkocane"	"contracting, distorting"	"kuc a"	"saṃkocane"	"contracting"	""	"√"
"√kucch"	""	"×"	"8"	"e, aya"	"revile"	"√kuts"	"despise"	"10"	"kucchita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kuccha"	"avakkhepe"	"reviling"	"kuts a"	"avakṣepaṇe"	"reviling"	""	"√"
"√kujj"	""	"･"	"1"	"a"	"turn"	"√ubj"	"force"	"6"	"ukkujjeti, nikkujjita, nikkujjitvā"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kujja"	"adhomukhīkaraṇe"	"facing down"	"-"	"-"	"-"	""	"√"
"√kuñc"	""	"×"	"1"	"a"	"be crooked, be bent"	"√kuñc"	"shrink, curl"	"1, 6"	"kuñcati, kuṇḍala"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kuñca"	"koṭill’appībhāvesu"	"crookedness and smallness, littleness"	"kuñc a
kruñc a"	"kauṭilyālpībhāvayoḥ
kauṭilyālpībhāvayoḥ"	"being bent, curving"	""	"√"
"√kuṭ 1"	""	"･"	"1"	"a"	"be crooked, be bent"	"√kuṭ"	"be crooked"	"6"	"paṭikuṭati, kūṭa, kuṭila, ukkuṭikaṃ"	"472"	"kuṭa"	"koṭilye"	"being crooked"	"526"	"kuṭa"	"chede ca <b>koṭille</b> agā sajjhāyanādisu"	"cutting, <b>going crooked</b> and reciting etc"	"kuṭa"	"koṭille"	"being crooked"	"kuṭ a"	"kauṭilye"	"being curved, crooked"	""	"√"
"√kuṭ 2"	""	"･"	"8"	"e, aya"	"knock, beat"	"√kuṭṭ"	"divide, crush"	"10"	"ākoṭeti"	"557"	"kuṭa"	"ākoṭane"	"beating, pounding"	"783"	"kuṭa"	"ākoṭanādisu"	"pounding, beating up, etc"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kuṭ 3"	""	"･"	"8"	"e, aya"	"cut"	"√kuṭ"	"break into pieces"	"10"	"koṭayati"	"555"	"kuṭa"	"chedane"	"cutting"	"781"	"kuṭa"	"chedane"	"cutting"	"kuṭa"	"chedane"	"cutting"	"truṭ a"	"chedane"	"cutting"	"related to English 'cut'?"	"√"
"√kuṭṭ"	""	"･"	"8"	"e, aya"	"smash, powder"	"√kuṭṭ"	"divide, crush"	"10"	"koṭṭeti, koṭṭana"	"557"	"kuṭa"	"ākoṭane"	"beating up, pounding"	"783"	"kuṭa"	"ākoṭanādisu"	"pounding, beating up, etc"	"kuṭṭa"	"chedane"	"cutting"	"kuṭṭ a"	"chedana- bhartsanayoḥ"	"cutting and threatening, menacing"	""	"√"
"√kuṇ"	""	"×"	"8"	"e, aya"	"be crooked, be bent"	"√kuñc"	"shrink, curl"	"6"	"kuṇī"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kuṇa"	"saṅkocane"	"contracting, shrinking"	"kuṇa"	"saṃkocane, pi"	"contracting"	""	"√"
"√kuṇṭh"	""	"･"	"1"	"a"	"be blunt, be lame"	"√kuṇṭh"	"dull"	"1"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars. A denominative root from <i>kuṇṭha</i>"	"√"
"√kuṇḍ"	""	"×"	"1"	"a"	"bend, mutilate"	"√kuṇḍ"	"mutilate"	"1"	"kuṇḍala"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√kuth"	"kkuth"	"･"	"1"	"a"	"boil, burn"	"√kvath"	"boil"	"1"	"pakuthita"	"-"	"-"	"-"	"-"	"530"	"kutha"	"pāke pūtibhāve"	"cooking and becoming rotten"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kudh"	"kkudh"	"･"	"3"	"ya"	"be angry"	"√krudh"	"be angry"	"4"	"kujjhati, kodha, kudha, kuddha"	"416"	"kudha"	"kodhe"	"being angry"	"654"	"kudha"	"kope"	"being angry"	"kudha"	"kope"	"to be angry"	"krudh a"	"krodhe, kope (K.)"	"being angry"	""	"√"
"√kunth"	""	"×"	"1"	"a"	"hurt, cause pain"	"√kunth"	"hurt"	"1"	"kuntha"	"-"	"-"	"-"	"-"	"531"	"kutha"	"saṃklesane"	"causing pain"	"kuthi"	"hiṃsā-saṃkilesesu"	"hurting and causing pain"	"kuth i"	"hiṃsā-saṃkleśanayoḥ"	"hurting and causing pain"	""	"√"
"√kup"	""	"･"	"3"	"ya"	"shake, be angry"	"√kup"	"be angry"	"4"	"kuppati, akuppa, pakopa"	"430"	"kupa"	"kope"	"being angry"	"667"	"kupa"	"kope"	"being angry"	"kupa"	"kope"	"being angry"	"kup a"	"krodhe"	"being angry"	""	"√"
"√kumār"	""	"×"	"8"	"e, aya"	"play"	"kumāra"	"child"	"-"	"kumāra, kumārī"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kumāra"	"kīḷāyaṃ"	"playing, sporting"	"kumāra"	"krīḍāyām"	"playing, sporting"	"artificial root, denominative of <b>kumāra</b>"	"√"
"√kur"	""	"×"	"1"	"a"	"sound"	"√kur"	"utter sound"	"6"	"kurara"	"485"	"kura"	"sadde"	"making sound"	"560"	"kura"	"<b>sadda</b> adanesu ca"	"<b>making sound</b> and eating"	"kura"	"sadde akkose ca"	"making sound and insulting, abusing"	"kur a"	"śabde"	"making sound"	""	"√"
"√kul"	""	"･"	"1"	"a"	"be close"	"√kul"	"accumulate"	"1"	"kula"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kula"	"saṅkhāne bandhumhi ca"	"calculating and relative, relation"	"kul a"	"saṃstyāne bandhuṣu ca"	"condensing and being kin"	""	"√"
"√kus 1"	"kkus"	"･"	"1"	"*a"	"call, insult"	"√kruś"	"cry out"	"1"	"akkosati, pakkositvā, pakkosāpetvā"	"311"	"kusa"	"akkose avhāne ca"	"insulting, abusing and calling"	"438"	"kusa"	"akkose"	"insulting, abusing"	"kusa"	"avhāne rodane ca"	"calling and crying"	"kruś a"	"āhvāne rodane ca"	"inviting and crying"	""	"√"
"√kus 2"	""	"×"	"1"	"a"	"fill, enfold"	"√kuś"	"enfold"	"4"	"koṭṭha"	"-"	"-"	"-"	"-"	"570"	"kusa"	"chedana-<b>pūraṇe</b>"	"cutting and <b>filling</b>"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kus 3"	""	"×"	"1"	"a"	"cut, tear"	"√kuṣ"	"?"	"6, 9"	"kuṭṭha kuṭṭhī"	"490"	"kusa"	"chedane"	"cutting"	"570"	"kusa"	"<b>chedana</b>-pūraṇe"	"<b>cutting</b> and filling"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√kuh"	""	"･"	"8"	"e, aya"	"deceive"	"√kuh"	"cheat"	"10"	"kuheti, kuhaka"	"633"	"kuha"	"vimhāpane"	"deceiving, disappointing"	"875"	"kuha"	"vimhāpane"	"surprising, deceiving, disappointing"	"kuha"	"vimhāpane"	"making others astonished, pretending"	"kuha"	"vismāpane"	"deceiving, conjuring"	""	"√"
"√kūj"	""	"･"	"1"	"a"	"make sound"	"√kūj"	"hum"	"1"	"vikūjati, vikūjanta"	"78"	"kūja"	"avyatte sadde"	"making inarticulate sound"	"92"	"kūja"	"sadde avyatte"	"making inarticulate sound"	"kuji"	"abyattasadde"	"making inarticulate sound"	"kūj a"	"avyakte śabde"	"making inarticulate sound"	""	"√"
"√kūl"	"kūl or kkūl"	"×"	"1"	"a"	"obstruct, embank"	"√kūl"	"cover, hide"	"1"	"kūla, paṭikūla, ukkūla"	"271"	"kūla"	"āvaraṇe"	"obstructing"	"387"	"kūla"	"āvaraṇe"	"obstructing"	"kūla"	"āvaraṇe"	"obstructing"	"kūl a"	"āvaraṇe"	"obstructing"	""	"√"
"√kūḷ"	""	"×"	"8"	"e, aya"	"burn"	"√kuṭ kūṭ √kūḍ"	"burn"	"10"	"upakūlita"	"107"	"kuṇḍa"	"dāhe"	"burning"	"151"	"kuḍi"	"dāhe"	"burning"	"kuṭi, kūṭī (Smith)"	"dāhe"	"burning"	"kūṭa"	"paritāpe paridāhe ity anye"	"scorching and burning"	"no exact matches with the root system of classical grammars"	"√"
"√kel"	""	"×"	"1"	"a"	"care, cherish"	"kelāya"	"sport, play"	"-"	"kelāyana"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"kele"	"mamāyane"	"taking as mine"	"-"	"-"	"-"	"perhaps connected with √kīḷ?"	"√"
"√khac"	""	"･"	"1"	"a"	"adorn, inlay"	"√khac"	"show through"	"1"	"khacita, khacitvā, khacetvā"	"-"	"-"	"-"	"-"	"518"	"khaca"	"bandhane"	"binding"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√khañj"	""	"･"	"1"	"a"	"limp"	"√khañj"	"limp"	"1"	"khañjati, khañja"	"81"	"khañja"	"gativekalye"	"going badly"	"97"	"khaji"	"gamanavekalle"	"going with difficulty"	"khaji"	"gativekalle"	"deficiency in going"	"khaj i"	"gativaikalye"	"defective going"	""	"√"
"√khaṇ"	""	"･"	"1"	"a"	"dig"	"√khan"	"dig"	"1"	"khanati, khaṇati, khata"	"179"	"khana"	"avadāraṇe"	"breaking, digging"	"258"	"khana"	"āvadāraṇe"	"breaking, digging"	"khanu"	"avadāraṇe"	"breaking, digging"	"khan u"	"avadāraṇe"	"breaking open, splitting through"	""	"√"
"√khaṇḍ"	""	"･"	"8"	"e, aya"	"break"	"√khaḍ √khaṇḍ"	"divide, break"	"1, 10"	"khandeti"	"565"	"khaṇḍa"	"bhedane"	"breaking"	"795"	"khaḍi"	"bhedane"	"breaking"	"khaḍi"	"chede"	"cutting"	"khaḍ i"	"bhedane"	"breaking"	""	"√"
"√khan"	"kkhan"	"･"	"1"	"a"	"hurt, break"	"√kṣan"	"wound"	"8"	"khata, akkhata"	"179"	"khana"	"avadāraṇe"	"breaking, digging"	"258"	"khana"	"āvadāraṇe"	"breaking, digging"	"khanu"	"avadāraṇe"	"breaking, digging"	"khan u"	"avadāraṇe"	"breaking open, splitting through"	""	"√"
"√khand"	"kkhand"	"･"	"1"	"a"	"jump"	"√skand"	"leap"	"1"	"pakkhandati"	"-"	"-"	"-"	"-"	"196"	"khadi"	"pakkhandanādisu"	"jumping etc"	"khand"	"gati-sosanesu"	"going and making dry"	"skand ir"	"gati-śoṣaṇayoḥ"	"going and drying"	""	"√"
"√kham"	"kkham"	"･"	"1"	"a"	"tolerate, endure"	"√kṣam"	"endure"	"1, 4"	"khamati, khanti, khama, khamita"	"218"	"khama"	"sahane"	"enduring"	"313"	"khamū"	"sahane"	"enduring, being patient"	"khamu"	"sahane"	"enduring"	"kṣam ūs
kṣam ū"	"sahane"	"being patient, enduring"	""	"√"
"√khambh"	"kkhambh"	"･"	"1"	"a"	"prop, be stiff"	"√skabh √skambh √stambh"	"prop"	"1, 5, 9"	"vikkhambheti"	"210"	"khambha"	"paṭibandhe"	"being bound"	"304"	"khabī"	"patibandhe"	"connecting"	"khabhi"	"paṭibaddhe"	"depending, tied or bound to"	"skabh i"	"pratibandhe"	"propping"	""	"√"
"√khar"	"kkhar"	"×"	"1"	"a"	"perish, break apart"	"√kṣar"	"flow"	"1, 2"	"akkhara"	"251"	"khara"	"vināse"	"breaking apart, being destroyed"	"358"	"khara"	"sekanāse"	"being destroyed"	"khara"	"khaye"	"exhaustion, destruction"	"kṣar a"	"saṃcalane?"	"shaking"	""	"√"
"√khal 1"	"kkhal"	"･"	"1"	"a"	"stumble, make mistake"	"√skhal"	"stumble"	"1"	"khalati, pakkhalitvā, khalita"	"260"	"khala"	"kampane"	"trembling"	"375"	"khala"	"sañcalane"	"shaking, agitating"	"khala"	"calane"	"trembling, agitating"	"skhal a"	"saṃcalane"	"moving, trembling"	""	"√"
"√khal 2"	"kkhal"	"･"	"8"	"e, aya"	"clean, rinse"	"√kṣal √kṣar"	"wash"	"10"	"pakkhāleti"	"611"	"khala"	"soceyye"	"cleaning"	"854"	"khala"	"<b>soce</b> sañcaye"	"<b>cleaning</b> and accumulating"	"khala"	"soceyye"	"purity"	"kṣal a"	"śaucakarmaṇi"	"making clean"	""	"√"
"√khal 3"	""	"×"	"1"	"a"	"accumulate"	"√khal"	"gather"	"1"	"saṅkhalikā"	"-"	"-"	"-"	"-"	"854"	"khala"	"soce <b>sañcaye 8</b>"	"cleaning and <b>accumulating</b>"	"khala 1"	"sañcinane"	"accumulating"	"khal a"	"saṃcaye"	"collection, gathering"	""	"√"
"√khā"	""	"･"	"1"	"a"	"tell, announce"	"√khyā"	"see"	"2"	"akkhāti, khāyati, saṅkhā, saṅkhāya, paṭisaṅkhā"	"355"	"khā"	"kathane"	"telling, announcing"	"581"	"khā"	"pakathane"	"telling, announcing, proclaiming"	"khā"	"pakathane"	"announcing, proclaiming"	"-"	"-"	"-"	""	"√"
"√khād"	""	"･"	"1"	"a"	"chew"	"√khād"	"chew"	"1"	"khādati, khādanīya, khajjamāna, khāyita, khādita"	"155"	"khāda"	"bhakkhaṇe"	"eating"	"226"	"khāda"	"bhakkhaṇe"	"eating, devouring"	"khāda"	"bhakkhane"	"eating"	"khād ṛ"	"bhakṣaṇe"	"eating"	""	"√"
"√khi"	"kkhi"	"×"	"1"	"a"	"live, abide peacefully"	"√kṣi"	"possess"	"1, 2, 6"	"khetta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"khi"	"nivāse"	"living"	"kṣi"	"nivāsagatyoḥ"	"living and going"	""	"√"
"√khiṭ"	""	"×"	"1"	"a"	"frighten, scare"	"√khiṭ"	"terrify, alarm"	"1"	"ukkheṭita samukkheṭita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"khiṭa"	"uttāsane"	"to fear"	"khiṭ a "	"trāse (utrāse-Kṣī)"	"frightening"	""	"√"
"√khip 1"	"kkhip"	"･"	"1"	"a"	"throw"	"√kṣip"	"throw"	"6"	"khipati, khipita, khitta, parikkhipitvā, nikkhepa, saṃkhittena, vikkhitta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"khipa"	"chaḍḍano"	"throwing away"	"-"	"-"	"-"	""	"√"
"√khip 2"	""	"･"	"1"	"a"	"sneeze"	"√kṣu"	"sneeze"	"2"	"khipati, khipanta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"khipa"	"abyattasadde"	"inarticulate sound"	"-"	"-"	"-"	""	"√"
"√khī"	"khī or kkhī"	"･"	"1"	"a"	"exhaust, destroy"	"√kṣi"	"destroy"	"1, 5, 9"	"khaya, saṅkhaya"	"11"	"khi"	"khaye"	"destroying"	"20"	"khi"	"khaye"	"destroying"	"khi / khī"	"khaye"	"wasting away, destroying"	"kṣi"	"kṣaye"	"wasting, destroying"	""	"√"
"√khud"	""	"×"	"1"	"a"	"be hungry"	"√kṣudh"	"be hungry"	"4"	"khoda, khudā"	"161"	"khuda"	"jighacchāyaṃ"	"being hungry"	"229"	"khuda"	"jighacchāyaṃ"	"being hungry"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√khubh"	"kkhubh"	"･"	"1"	"a"	"shake, agitate"	"√kṣubh"	"quake"	"1, 4, 5, 9"	"khobeti"	"206"	"khubha"	"sañcalane"	"agitating"	"302"	"-"	"sañcale"	"agitating"	"khubha"	"sañcalane"	"agitating"	"kṣubh a"	"saṃcalane"	"agitating, shaking"	""	"√"
"√khur"	""	"×"	"1"	"a"	"cut"	"√khur √kṣur"	"cut"	"6"	"khura"	"486"	"khura"	"chedana-vilekhaṅesu"	"cutting and scratching"	"354"	"khura"	"chidasmiṃ"	"cutting"	"khura"	"chedane vilekhane ca"	"cutting and scratching, writing"	"khur a
kṣur a"	"chedane
vilekhane"	"cutting and scratching"	""	"√"
"√khuṃs"	""	"･"	"8"	"e, aya"	"insult"	"√kruś"	"cry out"	"1"	"khuṃseti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"khusi"	"akkosane"	"abusing, insulting"	"-"	"-"	"-"	"related to √kus"	"√"
"√khyā"	""	"･"	"1"	"a"	"announce"	"√khyā"	"see"	"2"	"vyākhyāti, saṅkhyā, ākhyā"	"356"	"khyā"	"kathane"	"telling, announcing"	"582"	"khyā"	"pakathane"	"announcing, proclaiming"	"khyā"	"pakathane"	"announcing"	"khyā"	"prakathane"	"announcing, proclaiming"	""	"√"
"√gaj"	""	"×"	"1"	"a"	"roar, make sound"	"√gaj"	"roar"	"1"	"gaja"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"gaja"	"saddatthe"	"making sound"	"gaj a
gaj i"	"śabdārthaḥ
śabdārthaḥ"	"making sound"	"artificial root, denominative of <b>gaja</b>
related to √gajj"	"√"
"√gajj"	""	"･"	"1"	"a"	"roar, thunder"	"√garj"	"roar"	"1"	"gajjati, gajjamāna"	"76"	"gajja"	"sadde"	"making sound"	"90"	"gajja"	"saddane"	"making sound"	"gajja"	"saddattha"	"making sound"	"garj a"	"śabde"	"making sound"	"related to √gaj"	"√"
"√gaṇ"	""	"･"	"8"	"e, aya"	"calculate, group"	"√gaṇ"	"count"	"10"	"gaṇeti, gaṇana, gaṇaka, gaṇa, ganī, gaṇika, saṅgaṇikā"	"574"	"gaṇa"	"saṃkhāyne"	"calculating"	"806"	"gaṇa"	"saṃkalane"	"adding, calculating"	"gaṇa"	"saṅkhyāne"	"calculating"	"gaṇ a"	"saṅkhyāne"	"calculating"	""	"√"
"√gad"	""	"･"	"1"	"a"	"speak"	"√gad"	"say"	"1"	"gadati"	"148"	"gada"	"vyattavacane"	"speaking articulately"	"222"	"gada"	"vyattavace"	"speaking clearly"	"gada"	"viyattiyaṃ vācāyaṃ"	"articulate speech"	"gad a "	"vyaktāyāṃ vāci"	"speaking clearly"	""	"√"
"√gadh"	""	"×"	"1"	"a"	"bind, tie"	"√grath"	"tie"	"1, 7, 9"	"gaddula, gadhita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"gādha"	"patiṭṭhā-nissaya-<b>ganthesu</b>"	"standing firmly, supporting and <b>binding</b>"	"gādh ṛ"	"pratiṣṭhā-lipsayor <b>granthe</b> ca"	"standing firmly, supporting? and <b>binding</b>"	"variant of √ganth"	"√"
"√ganth"	""	"･"	"1"	"a"	"tie, bind"	"√granth √grath"	"tie"	"1, 7, 9"	"gantheti, gathita, gantha, gaṇṭhi"	"581"	"gantha"	"ganthane"	"knitting, tying"	"814"	"gantha"	"sandabbhe"	"tying"	"gantha"	"santhambhe"	"binding"	"granth a"	"saṃdarbhe"	"binding together, weaving"	""	"√"
"√gabbh"	""	"×"	"1"	"a"	"be bold, be daring"	"√galbh"	"dare"	"1"	"apagabbha"	"211"	"gabbha"	"pāgabbhiye"	"being bold, daring"	"305"	"gabbha"	"pāgabbhiye vadhe"	"being bold, striking"	"gabbha"	"dhāraṇe"	"holding, bearing"	"galbh a"	"dhārṣṭye"	"being bold, audacious"	""	"√"
"√gam"	""	"･"	"1"	"a"	"go"	"√gam"	"go"	"1"	"gacchati, gamika, gati, sugata"	"-"	"-"	"-"	"-"	"3"	"gamu"	"gatimhi"	"going"	"gamu"	"gatiyaṃ"	"going"	"gam ḷ"	"gatau"	"going"	""	"√"
"√gar 1"	""	"×"	"1"	"a"	"esteem, be heavy"	"√gur"	"raise"	"6"	"garu"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"gara"	"uggame"	"rising, going up"	"gur ī"	"udyamane"	"elevating"	"related to English 'grave'?"	"√"
"√gar 2"	""	"×"	"1"	"a"	"drip, swallow"	"√gṝ"	"swallow"	"6, 9"	"sāgara"	"249"	"gara"	"secane"	"sprinkling"	"360"	"garo"	"nigaraṇe seke"	"swallowing and sprinkling"	"gara"	"secane"	"sprinkling, pouring"	"gṛ"	"secane"	"sprinkling"	"related to √gil (swallow)"	"√"
"√garah"	""	"･"	"1"	"a"	"blame"	"√garh"	"chide"	"1"	"garahati, garahā"	"340"	"garaha"	"nindāyaṃ"	"blaming, scolding"	"501"	"garaho"	"nindāyaṃ"	"blaming, reproving"	"garaha"	"kucchane"	"reproaching"	"garh a"	"kutsāyāṃ"	"reproaching, reviling"	""	"√"
"√gal 1"	""	"･"	"1"	"a"	"drip, flow"	"√gal"	"drop"	"1"	"galati, gaḷati, gala"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
